job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
大客户销售,年薪5-6w,上海-徐汇区,应届,大客户销售,2人,昨天发布,太平洋网络,国内上市公司,500-999人,互联网/移动互联网/电子商务
医美器械销售专员-深圳,年薪6-18w,深圳,应届,医疗器械销售代表,3人,昨天发布,意之美(广州)生物科技有限公司,私营·民营企业,50-99人,医疗设备/器械
售后支持工程师,年薪5-7w,上海-金山区,应届,售后支持工程师,15人,昨天发布,特百佳动力科技有限公司,私营·民营企业,50-99人,新能源/电动汽车
工艺工程师-应届毕业生,年薪11-14w,西安,应届,工艺/制程工程师(PE),30人,昨天发布,陕汽,国有企业,10000人以上,汽车/摩托车
机场地勤 日语翻译,年薪14-18w,深圳,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
客服,年薪8-10w,上海-静安区,应届,客户服务专员/助理,1人,昨天发布,迪乐泰轮胎(上海)有限公司,外商独资·外企办事处,50-99人,汽车/摩托车
秘书/文员,年薪10-14w,肇庆,应届,秘书/文员,5人,昨天发布,江苏太平洋建设有限公司,私营·民营企业,10000人以上,建筑
游戏视频编导（2021届）,年薪8-17w,长沙,应届,导演/编导,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
日本北海道高尔夫日语翻译,年薪14-18w,西安,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
贝壳实习生（无责6000+包住）,300元/日,深圳-宝安区,实习5天/周,房地产销售人员,8人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
医疗器械质量管理,年薪6-10w,广州,应届,医疗器械生产/质量管理,1人,昨天发布,意之美(广州)生物科技有限公司,私营·民营企业,50-99人,医疗设备/器械
秘书/文员,年薪10-14w,梅州,应届,秘书/文员,5人,昨天发布,江苏太平洋建设有限公司,私营·民营企业,10000人以上,建筑
电机设计——电磁设计工程师,年薪10-26w,绍兴,应届,其他生产/制造/研发职位,2人,昨天发布,卧龙集团,国内上市公司,10000人以上,仪器/仪表/工业自动化/电气
机场地勤 日语翻译,年薪14-18w,杭州,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
汽车销售顾问实习生（工作地点：江浙沪皖）,150元/日,嘉兴,实习5天/周,汽车销售,不限,昨天发布,宝能汽车销售有限公司,私营·民营企业,10000人以上,汽车交易
行政人事助理,年薪4-5w,南京-浦口区,应届,行政专员/助理,1人,昨天发布,帛丝云商江苏科技有限公司,私营·民营企业,50-99人,IT服务/系统集成
土建工程管培生,130元/日,杭州,实习5天/周,现场/施工管理,2人,昨天发布,浙江诚稻置业有限公司,私营·民营企业,100-499人,商业地产
